Image#,Crib#,Row,Column,Class 1 Value,Class 2 Value,Classification
38000,1,0,0,6.224218,-6.800488,0
38000,1,0,1,4.938622,-6.137316,0
38000,1,0,2,5.026820,-4.321665,0
38000,1,1,0,3.354975,-4.343400,0
38000,1,1,1,3.375468,-3.368100,0
38000,1,1,2,4.659382,-5.122265,0
38001,2,0,0,6.607935,-8.286658,0
38001,2,0,1,5.070577,-5.212403,0
38001,2,0,2,4.861671,-6.513804,0
38001,3,0,0,3.977549,-5.200106,0
38001,3,0,1,3.397836,-2.831131,0
38001,3,0,2,2.596919,-0.589258,0
38001,3,1,0,6.690885,-5.681652,0
38001,3,1,1,6.316545,-7.552492,0
38001,3,1,2,1.347543,-3.862140,0
38002,4,0,0,2.920744,-2.589434,0
38002,4,0,1,3.215837,-3.829735,0
38002,4,0,2,1.629497,-2.795781,0
38002,5,0,0,6.201658,-7.485592,0
38002,5,0,1,4.892855,-6.492188,0
38002,5,0,2,3.075428,-5.890583,0
38002,5,1,0,6.125260,-7.567637,0
38002,5,1,1,3.317924,-3.784444,0
38002,5,1,2,3.038046,-5.171767,0
38003,6,0,0,7.304311,-8.403661,0
38003,6,0,1,2.422469,-4.552759,0
38003,6,0,2,4.912360,-4.649182,0
38003,7,0,0,3.218233,-3.496022,0
38003,7,0,1,5.085960,-6.056556,0
38003,7,0,2,4.331958,-6.935404,0
38004,8,0,0,2.838021,-0.938380,0
38004,8,0,1,2.336625,-3.518472,0
38004,8,0,2,3.566912,-4.481340,0
38004,8,1,0,5.758882,-5.821218,0
38004,8,1,1,2.022307,-1.979039,0
38004,8,1,2,3.174011,-5.377085,0
38004,9,0,0,4.050964,-6.872012,0
38004,9,0,1,4.064025,-4.357459,0
38004,9,0,2,6.777130,-6.932055,0
38005,10,0,0,4.650981,-7.205498,0
38005,10,0,1,5.331866,-5.946746,0
38005,10,0,2,4.676266,-5.137978,0
38005,10,1,0,2.696291,-6.405442,0
38005,10,1,1,3.378724,-4.041881,0
38005,10,1,2,4.430412,-4.663508,0
38005,11,0,0,3.899173,-5.614969,0
38005,11,0,1,3.885234,-3.401102,0
38005,11,0,2,2.773442,-5.590316,0
38006,12,0,0,5.061672,-6.518929,0
38006,12,0,1,2.860115,-3.651085,0
38006,12,0,2,5.160319,-6.599893,0
38006,12,1,0,3.841929,-3.655049,0
38006,12,1,1,4.003531,-4.120008,0
38006,12,1,2,1.406444,-2.056786,0
38007,13,0,0,8.866773,-10.980220,0
38007,13,0,1,3.173402,-4.262267,0
38007,13,0,2,3.247729,-4.193711,0
38007,13,1,0,4.344265,-3.853047,0
38007,13,1,1,4.499752,-4.228833,0
38007,13,1,2,4.090607,-3.369532,0
38007,14,0,0,3.702985,-3.728733,0
38007,14,0,1,3.954599,-6.232510,0
38007,14,0,2,3.633525,-3.925300,0
38007,14,1,0,3.036142,-3.472414,0
38007,14,1,1,2.495858,-2.606873,0
38007,14,1,2,1.615916,-2.751878,0
38008,15,0,0,5.223470,-5.462411,0
38008,15,0,1,0.143335,1.781654,0
38008,15,0,2,2.784613,-3.453818,0
38008,15,1,0,3.207190,-2.753641,0
38008,15,1,1,0.417931,-0.449929,0
