Image#,Crib#,Class 1 Value,Class 2 Value,Classification
70000,1,5.249250,-5.883338,0
70000,2,3.862900,-4.395206,0
70001,3,4.680753,-5.156338,0
70002,4,3.019787,-2.689658,0
70002,5,4.617691,-5.198699,0
70003,6,4.447470,-5.056523,0
70003,7,3.800594,-3.794801,0
70004,8,1.876522,0.649396,0
70004,9,3.784898,-3.283298,0
70005,10,4.731747,-5.208949,0
70005,11,2.838229,-0.131252,0
70006,12,1.929471,2.681761,0
70006,13,3.679713,-3.813311,0
70007,14,3.687726,-3.513328,0
70008,15,4.633737,-5.004770,0
70008,16,5.525963,-6.224397,0
70009,17,2.718627,-1.701028,0
70009,18,0.909104,2.799266,0
70010,19,3.366394,-2.632542,0
70010,20,2.994864,-2.538418,0
70011,21,5.752038,-6.524406,0
70011,22,4.221685,-4.752140,0
70012,23,4.577731,-5.152665,0
70012,24,0.649634,4.321032,0
70013,25,3.791806,-4.007195,0
70013,26,2.421582,-1.441873,0
70014,27,2.322202,-0.763021,0
70014,28,4.669983,-5.125553,0
70015,29,1.016749,3.344414,0
70015,30,1.457082,3.498932,0
70016,31,5.065344,-5.517290,0
70017,32,3.574178,-3.511703,0
70017,33,3.970825,-4.201232,0
70018,34,5.533404,-6.197452,0
70018,35,4.264881,-4.827225,0
70019,36,3.502663,-3.296307,0
70019,37,4.167372,-4.641714,0
70020,38,3.068630,-1.119191,0
70020,39,5.003998,-5.587002,0
70021,40,1.317873,2.345205,0
70021,41,-1.389196,10.108397,1
70022,42,4.970675,-5.610580,0
70022,43,4.634628,-5.111499,0
70023,44,2.505755,-2.181702,0
70023,45,3.939984,-4.249486,0
70024,46,4.358665,-4.845970,0
70024,47,1.800580,2.402831,0
70025,48,4.736247,-5.301003,0
70025,49,7.178452,-8.189875,0
70026,50,3.440018,-3.645360,0
70027,51,5.387501,-5.882364,0
70027,52,3.831686,-3.057703,0
70028,53,4.396384,-4.909562,0
70028,54,1.235322,2.173677,0
70029,55,4.704532,-5.251246,0
70029,56,4.633705,-5.034981,0
70030,57,4.184519,-4.690505,0
70030,58,5.239068,-5.873997,0
70031,59,2.537685,-1.371774,0
70031,60,1.514357,1.574848,0
70032,61,5.716196,-6.411057,0
70032,62,3.481611,-3.851406,0
70033,63,2.832900,-1.960013,0
70033,64,2.993328,-1.930649,0
70034,65,4.388328,-4.471137,0
70034,66,4.578324,-5.099472,0
70035,67,2.302923,-1.258157,0
70036,68,4.946464,-5.512536,0
70036,69,2.669142,-1.332887,0
70037,70,4.401668,-4.677366,0
70037,71,4.720939,-5.224476,0
70038,72,2.763425,-0.973420,0
70038,73,0.851059,4.785898,0
70039,74,4.368623,-4.881925,0
70039,75,3.945278,-3.922742,0
70040,76,2.616808,-0.961833,0
70040,77,1.388754,3.243956,0
70041,78,2.096816,2.123256,0
70041,79,6.055624,-6.914842,0
70042,80,4.346137,-4.855122,0
70042,81,4.429166,-4.648860,0
