Image#,Crib#,Class 1 Value,Class 2 Value,Classification
47040,17897,5.204070,-5.752278,0
47040,17898,4.032246,-4.318580,0
47040,17899,5.200309,-5.811661,0
47041,17900,5.339409,-6.016292,0
47041,17901,6.798488,-7.570997,0
47042,17902,7.915730,-8.846293,0
47042,17903,6.669109,-7.349789,0
47043,17904,4.403680,-4.673116,0
47043,17905,5.984931,-6.574004,0
47043,17906,5.212582,-5.030724,0
47044,17907,8.175394,-8.910173,0
47044,17908,7.872876,-8.684719,0
47044,17909,5.376427,-5.836766,0
47045,17910,7.503074,-8.199073,0
47045,17911,6.047489,-6.526040,0
47046,17912,5.178982,-5.576970,0
47046,17913,6.304695,-5.901200,0
47047,17914,5.616655,-6.109422,0
47047,17915,7.484787,-8.219502,0
47048,17916,10.313444,-11.387966,0
47048,17917,4.138242,-2.273082,0
47048,17918,5.150636,-4.011683,0
47049,17919,8.948525,-9.970788,0
47049,17920,7.614540,-8.300245,0
47049,17921,4.185881,-3.109242,0
47050,17922,4.373824,-3.043324,0
47050,17923,7.653162,-8.416143,0
47051,17924,5.394765,-5.848131,0
47051,17925,8.303505,-8.686837,0
47051,17926,6.341135,-6.759658,0
47052,17927,6.270427,-6.800133,0
47052,17928,4.912937,-4.142538,0
47053,17929,8.916477,-9.796974,0
47053,17930,4.743420,-5.032564,0
47054,17931,7.910550,-8.751102,0
47054,17932,7.697916,-8.526219,0
47055,17933,7.433554,-8.124295,0
47055,17934,5.455920,-5.597500,0
47056,17935,2.242283,2.257963,0
47056,17936,6.082774,-6.683723,0
47057,17937,7.070799,-7.847402,0
47057,17938,5.722748,-6.091037,0
47058,17939,5.024318,-5.359501,0
47058,17940,7.616068,-8.444320,0
47059,17941,8.492444,-8.967529,0
47059,17942,7.558768,-8.096281,0
47059,17943,7.359587,-8.058500,0
47060,17944,8.392791,-9.280232,0
47060,17945,8.621119,-9.443098,0
47061,17946,7.376795,-8.019333,0
47061,17947,7.131615,-7.657859,0
47062,17948,10.387070,-11.526285,0
47062,17949,6.365313,-5.850352,0
47062,17950,6.568554,-6.628679,0
47063,17951,6.961597,-7.472807,0
47063,17952,7.310765,-8.107687,0
47064,17953,4.823480,-3.399568,0
47064,17954,5.771628,-5.989800,0
47065,17955,9.396670,-10.345699,0
47065,17956,7.530857,-8.285295,0
47066,17957,7.919775,-8.739541,0
47066,17958,10.438166,-11.529416,0
47067,17959,6.918171,-7.165386,0
47067,17960,5.065099,-4.500246,0
47068,17961,6.261867,-6.861652,0
47068,17962,6.565028,-7.188755,0
47068,17963,6.247021,-6.970939,0
47069,17964,5.443298,-5.386480,0
47069,17965,3.669821,-4.058712,0
47070,17966,6.281744,-6.846511,0
47070,17967,5.046370,-4.442010,0
47071,17968,8.235183,-9.119453,0
47071,17969,8.755458,-9.695629,0
47072,17970,8.382396,-9.350805,0
47072,17971,8.469374,-9.394899,0
47073,17972,6.599673,-7.328180,0
47073,17973,7.163552,-7.895707,0
47074,17974,6.188848,-6.904234,0
47074,17975,5.525513,-6.118513,0
47075,17976,6.386374,-7.000304,0
47075,17977,6.569978,-7.272375,0
47075,17978,6.960356,-7.689399,0
47075,17979,6.740011,-7.527916,0
47076,17980,7.195940,-7.910626,0
