Image#,Crib#,Row,Column,Class 1 Value,Class 2 Value,Classification
8009,16,1,1,0.028377,-0.364370,0
8009,16,1,2,4.031832,-3.872300,0
8009,16,1,3,-5.086665,2.938846,1
8009,16,2,0,0.014948,-0.291603,0
8009,16,2,1,-4.700279,3.433250,1
8009,16,2,2,0.920766,-0.178261,0
8009,16,2,3,-6.798225,4.751203,1
8009,16,3,0,-2.100224,1.362438,1
8009,16,3,1,-6.024926,4.187851,1
8009,16,3,2,1.711926,-1.202179,0
8009,16,3,3,-2.055144,0.576211,1
8009,16,4,0,-1.163233,0.358626,1
8009,16,4,1,-4.023906,3.018867,1
8009,16,4,2,0.962120,-1.168110,0
8009,16,4,3,-8.124406,5.276396,1
8009,16,5,0,5.842002,-4.452965,0
8009,16,5,1,2.038377,-2.492230,0
8009,16,5,2,-1.670478,1.068735,1
8009,16,5,3,0.909099,-0.762667,0
8009,16,6,0,-1.157638,0.102350,1
8009,16,6,1,-1.665882,0.606560,1
8009,16,6,2,3.976675,-3.801651,0
8009,16,6,3,-1.302000,0.006509,1
8010,17,0,0,-5.279068,3.220904,1
8010,17,0,1,0.730121,-1.421201,0
8010,17,0,2,3.771169,-2.592710,0
8010,17,0,3,-0.825637,0.420647,0
8011,18,0,0,-4.328589,2.792569,1
8011,18,0,1,3.805132,-3.070668,0
8011,18,0,2,2.333037,-2.550721,0
8011,18,0,3,-4.549820,3.213250,1
8011,19,0,0,-3.456503,2.048990,1
8011,19,0,1,2.066550,-1.856285,0
8011,19,0,2,0.019765,-0.234349,0
8011,19,0,3,-6.606602,4.358682,1
8011,19,1,0,-5.749693,3.838639,1
8011,19,1,1,0.300504,-0.323083,0
8011,19,1,2,0.734786,-1.731037,0
8011,19,1,3,-3.864769,2.132223,1
8012,20,0,0,-1.542706,0.200182,1
8012,20,0,1,1.385561,-1.370154,0
8012,20,0,2,4.541757,-4.643795,0
8012,20,0,3,4.344822,-3.777405,0
8012,21,0,0,3.750272,-3.170114,0
8012,21,0,1,5.583751,-5.319697,0
8012,21,0,2,-2.015696,1.352225,1
8012,21,0,3,0.931402,-1.272128,0
8013,22,0,0,4.767953,-3.653978,0
8013,22,0,1,-2.871430,1.711631,1
8013,22,0,2,-4.793373,3.234573,1
8013,22,0,3,-4.796311,3.053852,1
8013,22,1,0,0.716394,-0.665285,0
8013,22,1,1,-2.847980,1.550422,1
8013,22,1,2,-7.704576,5.336263,1
8013,22,1,3,-1.740129,0.683319,1
8013,22,2,0,1.443206,-0.819882,0
8013,22,2,1,-1.124933,1.213210,1
8013,22,2,2,-5.455436,3.877105,1
8013,22,2,3,-2.314078,1.741538,1
8013,22,3,0,-1.166844,0.894724,1
8013,22,3,1,-0.116714,-0.740817,0
8013,22,3,2,4.800215,-4.245934,0
8013,22,3,3,-7.330267,4.590117,1
8014,23,0,0,-4.265727,2.584018,1
8014,23,0,1,-0.526206,-0.661908,0
8014,23,0,2,-2.828500,1.633933,1
8014,23,0,3,4.804276,-4.199018,0
8014,24,0,0,-0.545138,0.727296,0
8014,24,0,1,-7.357190,5.357730,1
8014,24,0,2,4.819652,-3.953889,0
8014,24,0,3,-7.797477,4.908416,1
8015,25,0,0,-4.102689,2.977031,1
8015,25,0,1,4.307283,-3.434821,0
8015,25,0,2,0.880247,-0.878240,0
8015,25,0,3,7.335306,-5.967650,0
8015,26,0,0,1.885096,-2.161597,0
8015,26,0,1,3.270128,-3.579324,0
8015,26,0,2,5.845227,-3.715262,0
8015,26,0,3,4.996315,-3.912979,0
8016,27,0,0,0.970644,-0.633024,0
8016,27,0,1,-1.336507,0.455652,1
8016,27,0,2,-7.313426,5.085685,1
8016,27,0,3,3.972085,-3.496596,0
8016,27,1,0,-1.135647,0.119768,1
8016,27,1,1,0.392927,-1.318379,0
8016,27,1,2,2.740917,-2.722111,0
8016,27,1,3,3.159616,-2.620108,0
8016,28,0,0,0.615071,-0.937356,0
8016,28,0,1,-2.955136,2.426280,1
8016,28,0,2,2.842204,-2.363581,0
8016,28,0,3,4.851522,-4.210586,0
8017,29,0,0,1.641680,-1.700708,0
8017,29,0,1,-5.573533,3.760076,1
8017,29,0,2,2.386803,-2.246387,0
8017,29,0,3,-5.981884,3.903250,1
8018,30,0,0,4.267540,-3.517496,0
8018,30,0,1,0.786386,-0.769887,0
8018,30,0,2,2.288580,-1.441912,0
8018,30,0,3,3.692504,-3.676084,0
8018,31,0,0,-2.823568,2.184086,1
8018,31,0,1,1.046407,-1.298871,0
8018,31,0,2,-4.756480,3.210504,1
8018,31,0,3,-3.192401,1.751359,1
8019,32,0,0,2.266970,-1.429688,0
8019,32,0,1,2.832925,-3.117200,0
8019,32,0,2,2.546365,-2.115676,0
8019,32,0,3,0.257186,-0.169999,0
8019,33,0,0,1.603225,-2.797834,0
8019,33,0,1,0.282029,-0.648017,0
8019,33,0,2,-1.838393,0.651561,1
