Image#,Crib#,Class 1 Value,Class 2 Value,Classification
8000,1,-4.408176,20.372267,1
8001,2,-1.939231,9.472960,1
8001,3,-5.106419,21.454163,1
8002,4,3.596353,-4.141672,0
8003,5,-3.788835,16.069389,1
8003,6,-1.516358,9.806215,1
8004,7,3.799670,-4.271393,0
8004,8,3.816761,-4.227181,0
8005,9,4.448081,-4.888514,0
8005,10,2.766896,-2.522090,0
8006,11,3.630304,-3.990033,0
8007,12,0.166269,3.534333,0
8007,13,1.762796,0.138778,0
8008,14,2.834817,-2.853492,0
8008,15,5.532529,-6.249593,0
8009,16,0.324338,4.681384,0
8010,17,5.185326,-5.819554,0
8011,18,2.918798,-2.382517,0
8011,19,3.446203,-3.677338,0
8012,20,4.656930,-5.242206,0
8012,21,2.548472,-1.713907,0
8013,22,2.026980,-0.202871,0
8014,23,5.448165,-6.128752,0
8014,24,5.086245,-5.741263,0
8015,25,3.180775,-1.673088,0
8015,26,4.991812,-5.479504,0
8016,27,3.468736,-2.944073,0
8016,28,5.128623,-5.735331,0
8017,29,4.346917,-4.671094,0
8018,30,5.357091,-6.002697,0
8018,31,4.869475,-5.263224,0
8019,32,3.995096,-4.082326,0
8019,33,2.304609,0.613883,0
8020,34,3.220549,-2.365185,0
8021,35,7.609599,-8.565506,0
8021,36,3.550679,-3.481735,0
8022,37,4.704175,-5.240395,0
8022,38,6.271206,-6.951416,0
8023,39,5.441715,-6.094946,0
8023,40,4.618512,-5.224607,0
8024,41,3.355974,-3.683799,0
8024,42,2.025886,1.820491,0
8025,43,6.386029,-7.167501,0
8025,44,3.153517,-2.432559,0
8026,45,5.162770,-5.764084,0
8026,46,6.211339,-6.930188,0
8027,47,2.967281,-0.296229,0
8027,48,5.842729,-6.566191,0
8028,49,5.180803,-5.806751,0
8028,50,3.549140,-1.782524,0
8029,51,4.260344,-4.525464,0
8029,52,4.970444,-5.537642,0
8030,53,4.460644,-4.876405,0
8030,54,2.756321,-0.228282,0
8031,55,3.041760,-0.578635,0
8031,56,2.942221,-2.036382,0
8032,57,1.511769,0.087610,0
8033,58,5.826643,-6.575200,0
8033,59,2.064976,0.427810,0
8034,60,2.369385,-2.067900,0
8035,61,4.932952,-5.548690,0
8036,62,1.610082,2.121401,0
8036,63,3.913047,-4.235982,0
8037,64,2.282146,-0.784979,0
8038,65,3.650452,-3.015851,0
8039,66,5.069921,-5.667449,0
8039,67,3.090606,-3.468745,0
8040,68,1.117152,0.423546,0
8041,69,4.377505,-4.895513,0
8042,70,5.044273,-5.664181,0
8042,71,5.095779,-5.683415,0
8043,72,4.172650,-4.589357,0
8043,73,2.245175,-1.504093,0
8044,74,2.482725,-2.770570,0
8045,75,2.215672,-1.886371,0
8045,76,2.496299,-2.011660,0
8046,77,4.330249,-3.819969,0
8046,78,2.339104,0.041462,0
8047,79,3.749422,-3.581085,0
8047,80,2.867301,-2.231150,0
8048,81,4.981352,-5.545375,0
8048,82,4.235641,-4.865040,0
8049,83,4.934762,-5.478904,0
8049,84,4.472795,-4.907632,0
8050,85,1.792190,3.465652,0
8050,86,-1.371065,11.262983,1
8051,87,1.895195,3.197859,0
8052,88,3.468406,-2.289403,0
8052,89,4.397468,-4.261147,0
8053,90,3.524042,-3.072370,0
8053,91,4.046147,-4.281321,0
8054,92,4.923710,-5.311427,0
8054,93,1.325275,3.084719,0
8055,94,5.039698,-5.579220,0
8055,95,6.414392,-7.224566,0
8056,96,5.638789,-6.141881,0
8056,97,5.687951,-6.143301,0
8057,98,5.797120,-6.485319,0
8057,99,5.496769,-6.123487,0
8058,100,3.769087,-2.659349,0
8058,101,3.899397,-3.529297,0
8059,102,5.667297,-6.355906,0
8059,103,6.192010,-6.894029,0
8060,104,6.843903,-7.739255,0
8060,105,6.416408,-7.289365,0
8061,106,6.417861,-7.196510,0
8061,107,6.420037,-7.244794,0
8062,108,5.749165,-6.594483,0
8063,109,5.525605,-6.129703,0
8063,110,5.420155,-5.934826,0
8064,111,5.328888,-6.010062,0
8064,112,5.232981,-5.622073,0
8065,113,5.136494,-5.678358,0
8065,114,5.883025,-6.565335,0
8066,115,4.446653,-4.386249,0
8066,116,5.773696,-6.430449,0
8067,117,5.837178,-6.581517,0
8067,118,6.138145,-6.736973,0
8068,119,5.147869,-5.859553,0
8068,120,3.646200,-3.269849,0
8069,121,3.932106,-3.767031,0
8069,122,3.715786,-3.400137,0
8070,123,6.110431,-6.907496,0
8070,124,6.928887,-7.739759,0
8071,125,5.317793,-5.884836,0
8071,126,6.016344,-6.720107,0
8072,127,7.278555,-8.139068,0
8072,128,5.932510,-6.681680,0
8073,129,3.314433,-1.760121,0
8073,130,5.737486,-6.522903,0
8074,131,4.745919,-5.285143,0
8074,132,4.609394,-4.998348,0
8075,133,3.577327,-3.187573,0
8075,134,5.343029,-5.948820,0
8076,135,6.247605,-7.070795,0
8076,136,2.479474,0.808353,0
8077,137,6.462083,-7.269131,0
8077,138,5.191120,-5.464681,0
8078,139,7.442522,-8.400436,0
8078,140,3.162180,-1.651335,0
8079,141,5.391391,-5.912050,0
8079,142,4.578687,-5.081859,0
8080,143,4.328798,-4.670570,0
8080,144,7.421672,-8.392302,0
8081,145,7.130438,-8.056561,0
8081,146,5.024409,-5.577280,0
8082,147,6.005971,-6.736926,0
8082,148,5.256261,-5.854892,0
8083,149,4.108195,-3.399505,0
8083,150,4.852952,-5.200344,0
8084,151,7.335009,-8.370200,0
8084,152,4.852684,-5.226020,0
8085,153,4.844445,-4.968978,0
