Image#,Crib#,Class 1 Value,Class 2 Value,Classification
85000,1,-10.585149,0.936807,1
85001,2,-17.832834,2.161751,1
85001,3,-1.214314,-2.256563,1
85002,4,7.484917,-7.907052,0
85002,5,3.458564,-5.136140,0
85003,6,5.075972,-5.514122,0
85003,7,7.462135,-7.581978,0
85004,8,0.922111,-3.185730,0
85004,9,-2.247727,-1.485868,1
85005,10,5.214992,-5.988139,0
85005,11,4.654664,-5.773232,0
85006,12,-7.684503,0.194479,1
85006,13,-1.986620,-1.399236,1
85007,14,-1.938972,-1.628324,1
85007,15,0.074781,-3.025271,0
85008,16,-5.347422,-0.974366,1
85008,17,5.145212,-5.218193,0
85009,18,5.985676,-6.383973,0
85010,19,5.003170,-6.041780,0
85010,20,11.428060,-11.599898,0
85011,21,-1.975899,-1.547144,1
85011,22,-3.034042,-1.214078,1
85012,23,2.127372,-4.048881,0
85012,24,-13.329627,1.787144,1
85013,25,8.141156,-8.178110,0
85013,26,4.602099,-5.707551,0
85014,27,8.558695,-8.846641,0
85014,28,9.899169,-10.155901,0
85015,29,-12.420108,1.361100,1
85015,30,-9.724538,-0.134458,1
85016,31,3.422075,-4.635322,0
85016,32,-7.934665,0.743547,1
85017,33,6.356203,-7.244219,0
85017,34,4.492521,-5.771536,0
85018,35,-8.098892,-0.244075,1
85018,36,-1.702339,-2.108289,1
85019,37,11.438097,-11.717020,0
85020,38,8.241993,-8.365537,0
85020,39,9.547413,-9.459939,0
85021,40,8.305544,-8.264257,0
85021,41,3.669543,-4.824388,0
85022,42,8.521050,-8.870841,0
85022,43,9.165184,-9.389629,0
85023,44,-0.905062,-2.236565,0
85023,45,0.024597,-2.220029,0
85024,46,4.924155,-5.664592,0
85024,47,-9.934566,1.385053,1
85025,48,-2.468225,-1.703880,1
85025,49,-6.845110,-0.154108,1
85026,50,-6.449718,-0.430303,1
85027,51,9.049676,-9.211331,0
85027,52,-3.722677,-0.589081,1
85028,53,4.245871,-5.433328,0
85028,54,-5.062043,-0.116914,1
85029,55,-2.777769,-1.292376,1
85029,56,9.538911,-10.026112,0
85030,57,-14.216214,1.644714,1
85030,58,10.624357,-10.704832,0
85031,59,4.094336,-4.902185,0
