Image#,Crib#,Class 1 Value,Class 2 Value,Classification
60302,15837,6.593710,-12.676890,0
60302,15838,-3.164654,0.464854,1
60303,15839,-1.465379,-1.550232,1
60304,15840,5.238597,-10.010859,0
60304,15841,5.512175,-10.686201,0
60305,15842,3.187432,-6.180865,0
60305,15843,-0.625138,-1.513250,0
60306,15844,3.368774,-6.419074,0
60306,15845,1.594913,-4.623591,0
60307,15846,3.426231,-7.269347,0
60307,15847,1.230103,-3.930150,0
60308,15848,3.212820,-6.212588,0
60308,15849,1.459575,-4.055151,0
60309,15850,3.445954,-6.624062,0
60309,15851,-1.095390,-1.762028,1
60310,15852,4.099048,-7.790411,0
60310,15853,3.452724,-6.518896,0
60311,15854,-3.188761,0.420465,1
60311,15855,4.717446,-9.181952,0
60312,15856,4.266423,-8.046587,0
60312,15857,-5.646639,2.691724,1
60313,15858,7.120697,-13.718688,0
60314,15859,5.307072,-10.179293,0
60314,15860,3.188979,-6.064536,0
60315,15861,2.693374,-5.651525,0
60315,15862,-3.796718,1.443721,1
60316,15863,-2.229016,-0.866454,1
60316,15864,1.933795,-4.204781,0
60317,15865,0.283817,-2.808754,0
60317,15866,-0.045209,-2.370583,0
60318,15867,4.065219,-7.652835,0
60319,15868,3.539155,-6.561789,0
60319,15869,2.905257,-5.857688,0
60320,15870,0.719553,-3.089776,0
60320,15871,-1.379718,-1.160625,1
60321,15872,-0.666280,-1.524099,0
60321,15873,-3.916472,1.533110,1
60322,15874,-0.156580,-2.230228,0
60322,15875,0.776706,-3.450977,0
60323,15876,2.810735,-5.387575,0
60323,15877,3.287556,-6.234233,0
60324,15878,4.179723,-8.029634,0
60324,15879,3.514537,-6.616189,0
60325,15880,3.546849,-6.587370,0
60325,15881,4.402008,-8.373847,0
60326,15882,3.211527,-5.974466,0
60326,15883,4.010395,-7.556124,0
60327,15884,2.109659,-4.435927,0
60328,15885,1.859076,-4.304513,0
60328,15886,-0.775949,-1.594025,0
60328,15887,-2.996165,0.648511,1
60329,15888,1.744744,-4.323623,0
60330,15889,0.673919,-2.768637,0
60330,15890,2.658045,-5.747389,0
60331,15891,2.101547,-4.511557,0
60331,15892,-0.798228,-1.373739,0
60332,15893,2.876507,-5.387233,0
60332,15894,2.581118,-5.575961,0
60333,15895,-5.410728,3.363113,1
60333,15896,3.608112,-6.784066,0
60334,15897,4.989486,-9.666322,0
60334,15898,3.548316,-6.689315,0
60335,15899,-4.450146,1.785204,1
60335,15900,-2.184131,0.001039,1
60336,15901,3.177088,-6.132601,0
60336,15902,3.248656,-6.270271,0
60337,15903,-4.079877,1.538620,1
60337,15904,-3.881753,1.826792,1
60338,15905,2.929107,-5.535626,0
60338,15906,3.367317,-6.398347,0
60339,15907,-0.144429,-1.917941,0
60339,15908,-1.697608,-0.597726,1
60340,15909,-0.486897,-1.588177,0
60340,15910,-0.016483,-2.700398,0
60341,15911,3.395061,-6.628046,0
60341,15912,4.424858,-8.515135,0
60342,15913,-1.025178,-1.305750,1
60342,15914,0.851955,-3.486178,0
60343,15915,3.452908,-6.645225,0
60343,15916,0.317366,-2.480490,0
